transaction_id,amount,location,timestamp,payment_method,device,is_fraud
T0101,166.83,USA,2025-08-02 08:51:32.577336,Credit Card,Tablet,0
T0102,3185.69,Australia,2025-08-15 07:12:32.577339,Debit Card,Tablet,0
T0103,1578.64,USA,2025-08-12 08:38:32.577342,UPI,Desktop,0
T0104,2547.77,USA,2025-07-31 14:42:32.577345,Debit Card,Mobile,0
T0105,4538.76,India,2025-07-25 01:08:32.577348,Debit Card,Desktop,0
T0106,1253.97,Germany,2025-08-22 12:26:32.577351,Wallet,Mobile,0
T0107,2057.81,USA,2025-08-10 13:55:32.577354,Wallet,Tablet,0
T0108,3780.2,UK,2025-07-31 22:31:32.577357,Wallet,Desktop,0
T0109,1151.7,Germany,2025-07-24 07:32:32.577360,UPI,Tablet,0
T0110,394.13,Australia,2025-08-12 09:39:32.577363,Wallet,Desktop,0
T0111,1455.86,India,2025-07-22 18:12:32.577366,Credit Card,Tablet,0
T0112,814.49,Australia,2025-07-31 10:48:32.577369,Net Banking,Mobile,0
T0113,4649.19,Germany,2025-07-25 09:24:32.577372,Credit Card,Mobile,0
T0114,4042.52,Germany,2025-07-29 22:41:32.577375,Credit Card,Mobile,0
T0115,3170.68,Germany,2025-08-14 02:40:32.577378,Wallet,Desktop,0
T0116,4358.59,Australia,2025-08-04 08:08:32.577381,Net Banking,Mobile,0
T0117,4020.32,Germany,2025-08-10 16:56:32.577384,Net Banking,Desktop,1
T0118,940.98,Australia,2025-08-07 16:30:32.577387,Net Banking,Mobile,0
T0119,4463.87,Germany,2025-08-19 02:30:32.577390,UPI,Mobile,0
T0120,2701.32,UK,2025-07-26 16:42:32.577393,Wallet,Desktop,1
T0121,4039.13,Germany,2025-07-24 23:53:32.577396,Net Banking,Desktop,0
T0122,4481.5,Australia,2025-08-16 11:20:32.577399,UPI,Mobile,0
T0123,1596.84,USA,2025-08-16 00:42:32.577402,Debit Card,Desktop,0
T0124,559.16,Germany,2025-08-13 05:55:32.577405,Debit Card,Mobile,0
T0125,1147.4,USA,2025-08-21 06:01:32.577408,UPI,Desktop,0
T0126,2141.27,UK,2025-07-22 17:56:32.577411,UPI,Tablet,0
T0127,4091.89,India,2025-08-05 17:21:32.577414,Wallet,Tablet,0
T0128,4305.05,UK,2025-08-07 07:05:32.577417,Wallet,Tablet,0
T0129,44.69,Germany,2025-07-28 05:30:32.577420,Debit Card,Tablet,0
T0130,2558.63,USA,2025-08-07 00:23:32.577424,Net Banking,Tablet,0
T0131,2092.88,USA,2025-07-26 23:18:32.577428,Debit Card,Mobile,0
T0132,1118.32,Australia,2025-08-14 03:37:32.577433,Net Banking,Tablet,0
T0133,608.13,USA,2025-08-19 05:31:32.577438,Net Banking,Tablet,0
T0134,1694.7,Australia,2025-08-18 07:34:32.577443,Wallet,Tablet,0
T0135,4715.12,India,2025-08-02 10:36:32.577447,Credit Card,Tablet,0
T0136,1622.78,Germany,2025-08-16 16:38:32.577452,Credit Card,Desktop,0
T0137,2598.77,Australia,2025-08-09 07:32:32.577457,UPI,Mobile,0
T0138,3518.06,India,2025-08-21 21:57:32.577462,Wallet,Tablet,0
T0139,1824.51,USA,2025-07-23 16:41:32.577468,Net Banking,Tablet,0
T0140,4859.19,USA,2025-07-24 17:07:32.577472,Credit Card,Tablet,0
T0141,4812.61,India,2025-08-04 05:19:32.577477,Net Banking,Mobile,0
T0142,1266.39,USA,2025-07-22 18:23:32.577482,Credit Card,Desktop,0
T0143,2491.27,India,2025-08-16 08:19:32.577486,Credit Card,Mobile,0
T0144,1511.38,Australia,2025-08-20 08:23:32.577491,Credit Card,Desktop,0
T0145,1431.35,Australia,2025-08-16 14:35:32.577496,Wallet,Tablet,0
T0146,194.07,India,2025-07-29 20:17:32.577501,Debit Card,Tablet,0
T0147,3051.73,Australia,2025-08-07 16:05:32.577505,Net Banking,Mobile,0
T0148,2518.37,Australia,2025-08-18 06:48:32.577508,Wallet,Mobile,0
T0149,266.88,Australia,2025-07-28 03:28:32.577511,Wallet,Desktop,0
T0150,1400.45,UK,2025-07-25 19:14:32.577516,Wallet,Desktop,0
T0151,4542.25,Germany,2025-07-24 16:00:32.577519,Wallet,Mobile,0
T0152,1205.41,USA,2025-08-18 19:03:32.577522,Wallet,Desktop,0
T0153,733.03,UK,2025-08-13 20:38:32.577526,UPI,Mobile,0
T0154,2452.37,Australia,2025-08-15 09:03:32.577529,Net Banking,Desktop,1
T0155,4928.4,India,2025-08-02 02:16:32.577532,Wallet,Mobile,0
T0156,1217.86,Australia,2025-08-18 22:12:32.577535,Net Banking,Mobile,0
T0157,3363.96,Germany,2025-08-02 14:15:32.577538,UPI,Mobile,0
T0158,3810.48,Australia,2025-07-23 04:27:32.577542,UPI,Desktop,1
T0159,1195.81,India,2025-08-21 14:01:32.577545,Net Banking,Desktop,0
T0160,3643.8,Germany,2025-08-20 21:44:32.577547,Credit Card,Desktop,0
T0161,1845.24,Australia,2025-08-08 23:11:32.577550,Debit Card,Mobile,0
T0162,3165.21,Germany,2025-08-04 13:31:32.577554,Credit Card,Desktop,0
T0163,3171.31,USA,2025-07-22 17:30:32.577557,Credit Card,Desktop,0
T0164,2683.52,USA,2025-07-24 22:33:32.577560,Credit Card,Mobile,0
T0165,460.55,Australia,2025-08-13 02:15:32.577563,Wallet,Tablet,1
T0166,4178.16,Germany,2025-07-31 04:16:32.577566,UPI,Mobile,0
T0167,1610.69,India,2025-08-16 17:43:32.577569,Credit Card,Desktop,0
T0168,940.73,Australia,2025-07-27 18:24:32.577572,UPI,Mobile,1
T0169,213.47,USA,2025-08-03 18:10:32.577575,Net Banking,Tablet,0
T0170,2958.56,USA,2025-08-22 01:43:32.577578,Debit Card,Mobile,0
T0171,3391.05,Australia,2025-08-14 05:06:32.577581,Net Banking,Desktop,0
T0172,92.77,Germany,2025-07-26 06:56:32.577586,Net Banking,Tablet,0
T0173,2565.34,USA,2025-08-11 03:17:32.577592,Wallet,Desktop,0
T0174,1140.21,Germany,2025-07-28 09:15:32.577597,Debit Card,Tablet,0
T0175,3229.41,USA,2025-07-28 18:23:32.577602,Net Banking,Tablet,1
T0176,880.09,USA,2025-08-05 04:22:32.577607,Net Banking,Mobile,1
T0177,3457.78,UK,2025-07-25 00:45:32.577612,Debit Card,Mobile,0
T0178,1939.81,USA,2025-08-21 07:02:32.577618,Debit Card,Desktop,0
T0179,4684.28,India,2025-08-07 16:37:32.577622,Net Banking,Mobile,1
T0180,696.23,Australia,2025-08-22 06:28:32.577624,Debit Card,Mobile,0
T0181,1711.92,Australia,2025-07-28 12:31:32.577627,Net Banking,Tablet,0
T0182,576.23,Germany,2025-08-12 03:35:32.577630,Net Banking,Mobile,1
T0183,4624.22,USA,2025-08-22 16:13:32.577633,Wallet,Tablet,0
T0184,4387.92,India,2025-08-07 17:52:32.577636,Credit Card,Tablet,0
T0185,1297.13,Germany,2025-08-11 01:16:32.577639,Net Banking,Tablet,0
T0186,3303.32,UK,2025-08-16 20:37:32.577642,UPI,Desktop,0
T0187,4087.94,Germany,2025-07-28 11:55:32.577645,Credit Card,Desktop,0
T0188,2780.45,Germany,2025-08-05 07:27:32.577648,Credit Card,Desktop,0
T0189,2652.96,USA,2025-08-11 20:00:32.577651,Credit Card,Tablet,0
T0190,1216.84,UK,2025-07-27 13:22:32.577654,Wallet,Desktop,0
T0191,474.58,Germany,2025-08-04 01:12:32.577657,Net Banking,Desktop,0
T0192,4487.11,India,2025-08-20 14:55:32.577660,Wallet,Mobile,0
T0193,4503.09,India,2025-07-26 04:16:32.577663,Net Banking,Desktop,0
T0194,3169.18,Australia,2025-07-23 16:49:32.577666,Wallet,Desktop,1
T0195,1701.76,UK,2025-08-08 12:06:32.577669,Wallet,Tablet,0
T0196,1752.56,UK,2025-08-04 12:18:32.577672,UPI,Tablet,0
T0197,3632.52,Australia,2025-08-21 18:44:32.577675,Wallet,Tablet,0
T0198,4486.58,Germany,2025-08-11 01:37:32.577678,Debit Card,Tablet,0
T0199,4436.56,UK,2025-07-29 23:44:32.577681,UPI,Tablet,0
T0200,3901.58,India,2025-08-16 12:45:32.577684,Wallet,Tablet,0
